Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	
RPS6KA2	0.295923	1.13056	3.08576e-005	-1.85757			
RPS6KA2-IT1	0.810006	-1.03164	0.401738	1.1271			
RPS6KA5	0.00768827	2.03349	1.14322e-006	-5.21696			
RPS6KA6	0.114139	-1.95487	0.0228942	-2.95128			
RPS6KB1	0.0196438	1.38417	0.845439	-1.02882			
RPS6KB2	0.983557	-1.00167	0.000261114	1.43917			
RPUSD4	0.00388819	1.42488	0.569855	1.07383			
RQCD1	0.000839588	1.28202	5.87841e-006	1.49549			
RRAGC	0.226637	-1.1912	0.47367	-1.11926			
RRAS	0.0708192	-1.20584	0.00544044	1.38816			
RRAS2	0.524064	-1.19686	0.956485	-1.01694			
RRBP1	0.227346	1.19586	0.661942	-1.07273			
RRH	0.902372	1.01035	0.000520145	1.42538			
RRM1	0.316439	1.13094	0.00018763	1.75635			
RRM2	0.599758	-1.11703	7.79261e-006	3.42661			
RRN3	4.32794e-005	1.77965	0.41285	-1.11593			
RRN3P1	7.3181e-005	1.77205	0.9555	1.00771			
RRN3P2	2.52092e-005	1.97973	0.372568	-1.14592			
RRP1B	1.48531e-011	2.23459	0.018567	1.23248			
RRP7A	0.294342	1.08915	0.620473	-1.04483			
RSAD2	0.842187	-1.16069	0.724542	1.33528			
RSBN1L	1.3164e-006	2.28363	0.293141	-1.17442			
RSC1A1	0.000110414	1.98222	0.954149	1.00982			
RSL1D1	1.10577e-005	1.7614	0.0714363	1.24629			
RSPRY1	0.145493	-1.46701	0.545145	-1.18757			
RTBDN	0.828894	-1.01685	0.909145	-1.00971			
RTCA	0.0495364	1.2841	0.282895	-1.1576			
RTN1	0.395979	1.31022	0.000113133	-4.59736			
RTP4	0.883509	-1.04675	0.505201	1.2566			
RUNDC3B	0.573118	-1.03203	4.12954e-025	-7.36079			
RUNX1-IT1	0.783351	1.14194	0.37746	1.59921			
RWDD1	0.511334	1.06207	0.131047	-1.16658			
RWDD2B	0.422685	1.22469	0.395508	-1.26549			
RWDD4	0.00556167	1.38249	0.00934694	1.39082			
RYBP	0.482027	1.11817	0.000417885	-1.9775			
S100A10	0.0663572	-1.37025	0.000485668	2.03096			
S100A11	0.0220877	-2.45152	0.439887	1.3751			
S100A2	0.841306	-1.01135	3.79458e-006	1.41264			
S100A6	0.775603	1.01715	8.35464e-005	1.34241			
S1PR3	0.141583	-1.60182	0.0760379	1.87428			
S1PR5	0.70845	1.03339	0.000245901	-1.48657			
SAAL1	0.0175564	1.36042	0.00504762	1.5007			
SAC3D1	0.868812	-1.02321	0.296415	1.17387			
SACM1L	0.0257022	1.38266	0.00200069	-1.66838			
SAG	0.587068	-1.04653	0.593961	1.05011			
SALL4	0.603558	1.09729	0.280355	1.23743			
SAMD15	0.213882	-1.21276	0.862127	-1.02958			
SAMD9	0.581606	-1.38795	0.100155	2.98502			
SAMD9L					0.530237	-1.4498	
SAMHD1	0.67828	1.19024	0.1385	1.99996			
SAMM50	0.549209	1.09256	0.000181394	-1.98053			
SAP30	0.0017362	1.63607	9.22804e-006	2.30602			
SAP30L	0.584733	-1.07197	0.187433	-1.2043			
SAR1B	0.268167	-1.19904	0.695525	-1.07213			
SARNP	0.82071	1.0116	0.107605	1.09596			
SARS	0.00836887	1.45436	0.230883	-1.19453			
SASS6	0.012714	1.56697	0.000151119	2.23608			
SATB2	2.55627e-009	3.64198	0.000328179	-1.98907			
SAV1	0.341182	1.10869	0.000647722	-1.56028			
SAYSD1	0.628782	1.04332	0.0436149	1.22183			
SBDS	0.0123685	1.28454	0.144211	-1.1671			
SBDSP1	0.00382398	1.40573	0.67536	-1.05161			
SBF2-AS1	0.058041	-1.37223	0.800157	1.04595			
SBSN	0.997554	1.00035	0.0288263	1.3283			
SBSPON	0.506016	-1.08735	0.220293	1.18602			
SCAF1	0.839958	-1.01825	0.262915	-1.11733			
SCAMP1	0.433421	1.20352	0.000349811	-2.80234			
SCARB1	0.00152156	1.70734	0.0940983	1.33697			
SCARNA10	0.000424459	1.69589	0.125543	1.25882			
SCARNA14	0.297623	1.2835	0.0147881	1.9488			
SCARNA18	0.00151594	2.04385	0.00520371	-1.96644			
SCARNA23	0.000200114	3.61094	0.325348	1.39401			
SCARNA9	0.694852	-1.05623	0.0101597	1.51452			
SCARNA9L	2.61936e-005	2.84478	0.529697	-1.1582			
SCFD1	0.51767	-1.20302	0.0227955	-2.10086			
SCFD2	0.0429523	1.57166	0.040132	1.65316			
SCLT1	0.318263	1.09709	0.260894	1.12143			
SCMH1	7.52756e-007	2.01786	0.00397763	1.47061			
SCML1	2.63829e-007	2.34372	0.00530898	1.52948			
SCML2	4.51936e-006	2.36112	0.153832	1.27983			
SCN1B	0.993307	1.00116	6.60344e-010	-3.81049			
SCN2A	0.00624438	-1.79051	6.16483e-013	-13.3695			
SCN3A	0.244418	-1.7731	0.0445166	3.0287			
SCNM1	0.326924	1.10736	0.270172	1.13419			
SCOC	0.534381	-1.07139	6.38794e-005	-1.74688			
SCP2	0.0833401	1.28964	0.326793	-1.16774			
SCPEP1	0.19504	-1.37048	0.493945	1.19768			
SCRN1	0.387653	1.11432	0.0434919	-1.32994			
SCYL1	0.14642	-1.14322	0.476801	-1.07343			
SDAD1	0.00396788	1.54994	0.0336496	-1.4084			
SDC1	0.0140005	1.27789	0.140933	1.16842			
SDC2	0.101227	-1.3728	0.121763	-1.38666			
SDF4	0.131919	1.08237	0.106988	1.0975			
SDHAF1	0.489519	1.07816	0.0120152	-1.37034			
SDHB	0.00777557	1.51755	0.0310855	-1.43665			
SDHD	0.395848	1.08994	0.67535	-1.04741			
SDHDP1	0.375054	1.12132	0.727405	1.05023			
SDK1	0.0523142	-1.28105	0.196074	1.19427			
SDR16C5	0.722647	-1.02998	7.02054e-007	-1.75782			
SDR9C7	0.638581	-1.05351	0.419034	1.10364			
SEC14L2	0.661	1.11974	0.216471	-1.42354			
SEC22B	0.429536	1.15101	0.679592	-1.08355			
SEC23A	0.350497	1.30454	0.00133216	-2.96429			
SEC23IP	0.0373021	1.34903	0.43558	1.12629			
SEC24B	0.826058	1.03579	0.0331666	-1.47399			
SEC24D	0.0921547	1.2617	0.00103036	1.70238			
SEC31A	0.200245	1.16678	0.0238815	1.35937			
SEC61A1	0.304842	-1.15813	0.000303058	1.87591			
SEC61B	0.481071	-1.04882	0.000882575	1.31028			
SEC61G	9.5751e-009	8.12042	0.00215389	2.67181			
SECISBP2	0.353912	-1.08158	0.00045992	1.43155			
SECTM1	0.683857	-1.05174	0.51372	1.09289			
SELO	0.0220587	1.14882	0.277282	1.07213			
SELRC1	1.36444e-009	2.17172	0.00305069	-1.37505			
SEMA3A	0.374876	-1.84073	0.236852	-2.4489			
SEMA3E	0.324942	1.35509	0.000559333	-3.61131			
SENP1	0.35797	1.14213	0.0096093	1.53937			
SENP2	0.992411	1.00108	0.0186325	-1.35855			
SENP5	0.010796	1.35123	0.00278179	-1.48483			
SEP15	0.0189794	1.30107	7.63323e-005	-1.70285			
SEPP1	0.926546	-1.04289	0.242442	-1.80409			
SEPSECS	0.951394	1.00948	0.182132	1.25827			
SEPT11	0.915321	-1.02107	0.713874	-1.08205			
SEPT2	0.298785	-1.0934	0.0769458	1.18465			
SEPT6	0.579451	1.06654	0.000184709	-1.71062			
SEPT7	0.0426097	1.52639	0.4663	-1.1752			
SEPT7L	0.00100766	1.29489	0.36468	1.07414			
SEPT7P2	0.000130638	1.70809	0.0206133	1.38646			
SERAC1	0.397842	-1.13654	0.0299549	-1.45138			
SERBP1	1.58635e-005	1.68299	0.021298	1.30969			
SERINC3	0.891549	-1.02246	0.00102969	-1.90235			
SERPINA3	0.895962	1.06272	0.364545	-1.59242			
SERPINB1	0.0105637	1.82674	0.022853	-1.78711			
SERPINB12	0.398067	-1.07782	0.151795	1.15123			
SERPINE1	0.947275	1.02421	0.000502367	4.6293			
SERPINE3	0.691377	-1.03788	0.159055	1.15807			
SERPINH1	0.0618092	1.27263	0.712012	1.05204			
SERPINI1	0.866329	-1.07698	1.78066e-007	-25.205			
SERPINI2	3.95306e-005	-2.33099	0.790336	-1.05303			
SERTAD4	0.369983	-1.30898	0.149945	-1.61415			
SESN3	0.120119	1.5437	0.0575238	-1.79893			
SETD3	0.466847	1.16435	0.00155624	-2.19704			
SETD6	0.0010192	1.22193	0.00295784	1.21555			
SETD9	0.752803	-1.06313	0.320154	-1.23772			
SF3A1	0.7008	-1.05279	0.0424901	-1.36039			
SF3A2	0.316316	1.16722	0.000865197	1.84958			
SF3A3	3.52966e-005	1.64313	0.000691036	1.52815			
SFMBT1	0.547446	1.05313	0.00332603	1.3462			
SFMBT2	2.3344e-006	3.38949	0.733735	1.08214			
SFR1	0.000737912	-1.23248	0.000103458	-1.31302			
SFT2D2	0.168371	1.25889	0.266207	1.22437			
SFXN4	7.38138e-005	1.91967	0.0427925	-1.38989			
SGCB	0.00250369	-1.68161	0.612473	-1.09236			
SGK1	0.874792	-1.05893	0.346681	-1.45839			
SGK223	0.865463	-1.03118	0.923625	-1.01921			
SGK3	0.367852	1.16097	0.000174162	-2.15129			
SGMS1	0.378202	1.12332	0.000264219	-1.80168			
SGMS2	0.0115922	-1.55157	0.271304	1.22209			
SGOL1	0.942907	1.01729	4.35412e-010	10.5423			
SGOL2	0.461792	1.11194	9.74789e-006	2.28809			
SGPP1	0.0164072	2.12866	0.00010561	-4.27485			
SH2B3	0.925972	1.01856	0.383234	1.20953			
SH2D4A	0.0121585	1.6265	0.00348532	1.88361			
SH3BGR	0.772934	1.0213	0.00119664	1.32822			
SH3BP5	0.0753978	-1.18325	3.65449e-005	-1.62321			
SH3GL1	0.174333	-1.12459	0.385664	1.08478			
SH3GLB1	0.235721	-1.19109	0.659889	-1.0729			
SH3KBP1	0.331683	1.131	0.0108296	-1.44969			
SH3RF1	0.0454614	-1.34531	0.00119791	-1.74561			
SH3TC2	0.953596	-1.00943	0.00935872	-1.62674			
SHB	0.00893911	1.51327	0.351715	1.16595			
SHC1	0.0123375	1.43834	0.00255704	1.63583			
SHCBP1	0.60973	-1.09621	3.09431e-005	2.60037			
SHFM1	1.22707e-005	1.41583	3.14616e-007	1.61014			
SHOX2	0.707361	1.08483	0.00696121	1.97773			
SHQ1	1.15803e-005	1.42206	9.70068e-005	-1.39135			
SHROOM2	0.727028	1.05962	0.409081	-1.16269			
SHROOM3	0.410994	-1.15417	0.776071	1.05556			
SIAE	0.273105	-1.17459	0.0313408	-1.4285			
SIDT2	0.012466	-1.30052	0.0982421	1.20294			
SIGLEC12	0.557884	-1.05761	0.105278	1.1888			
SIGMAR1	0.312682	-1.20871	0.846984	-1.04014			
SIK1	0.00200721	1.36271	0.207717	-1.1377			
SIK2	0.32191	-1.16774	0.203622	-1.24508			
SIK3	0.345651	1.076	0.00486964	-1.28996			
SIK3-IT1	0.097585	1.17196	0.388301	1.09306			
SIKE1	0.00995551	1.33912	0.286855	1.13434			
SIM1	0.827702	-1.024	0.386923	1.10948			
SIN3A	0.080726	1.14513	0.00888043	1.25844			
SIRPAP1	0.07957	1.36835	0.000411019	-2.12151			
SIX1	0.0476493	1.34957	0.0553491	1.37306			
SKA1	0.811237	-1.03997	0.00128879	1.8827			
SKA2	0.639818	1.06914	0.000107743	1.99421			
SKA2L	0.293023	1.16043	1.71013e-005	2.17735			
SKAP2	0.875805	-1.06436	0.57252	-1.28063			
SKI	0.116422	-1.10994	0.0078174	-1.22321			
SKIV2L2	0.0798161	1.34444	0.0866937	-1.3726			
SKOR1	0.673635	-1.04482	0.331911	1.1178			
SKP1P1	0.518349	-1.11797	0.00307698	-1.82537			
SLAIN2	0.902256	-1.0187	0.610031	1.08811			
SLBP	0.00398407	1.18137	0.0192243	-1.15585			
SLC10A3	0.397921	1.07731	0.109276	1.16998			
SLC10A5	0.000257055	1.97713	0.693458	-1.07436			
SLC10A7	0.00635096	-1.85994	0.202859	1.352			
SLC11A1	0.71991	-1.03263	0.00754655	1.321			
SLC12A4	0.0498375	-1.32963	0.609368	1.08205			
SLC15A3	0.723407	-1.0951	0.849634	1.05471			
SLC15A5	0.36221	-1.06816	0.614113	-1.04058			
SLC16A1	7.21781e-007	1.83452	0.0359694	1.26371			
SLC16A4	0.000385957	-2.43626	0.417946	1.22199			
SLC17A5	0.0102568	-1.37788	0.00429789	-1.48587			
SLC18A2	0.968902	-1.00341	0.303785	1.1042			
SLC1A1	0.0936795	2.03592	6.3339e-005	-8.08174			
SLC1A5	4.50413e-007	3.26462	0.187109	1.31406			
SLC20A2	0.112577	1.45818	0.279932	-1.32066			
SLC22A15	0.748188	-1.04843	2.37843e-005	-2.22182			
SLC22A20	0.686213	-1.03402	0.0525919	1.19876			
SLC22A5	0.384066	-1.15093	0.165432	1.28123			
SLC24A2	0.921476	-1.03185	1.40196e-008	-14.2576			
SLC24A3	0.266141	-1.43019	0.315178	-1.42384			
SLC25A10	0.0911294	1.15758	0.346291	1.09185			
SLC25A12	0.0820938	1.20972	4.2167e-010	-2.86227			
SLC25A13	2.28262e-006	1.8421	4.39663e-005	1.73094			
SLC25A14	0.00323944	1.33271	1.05261e-006	-1.82184			
SLC25A17	0.110509	1.23818	0.3984	-1.12966			
SLC25A18	0.618323	-1.09565	0.00407804	-1.85552			
SLC25A19	1.53576e-007	2.00485	0.953417	-1.00662			
SLC25A20	0.768317	1.0219	0.140946	1.1283			
SLC25A24	0.000471031	1.57849	0.0162776	1.38329			
SLC25A3	0.202495	1.1485	0.00246805	-1.46918			
SLC25A32	1.58648e-007	2.54273	0.00216869	-1.65751			
SLC25A35	0.617178	1.0475	0.0014571	1.42297			
SLC25A37	0.00301308	1.64275	0.187763	1.25491			
SLC25A40	4.75824e-006	2.19276	0.00313715	-1.64326			
SLC25A46	0.827846	1.03174	0.00094067	-1.77265			
SLC25A5	0.000157896	1.75437	0.000957892	-1.68555			
SLC25A52	0.547831	1.05779	0.790272	1.02754			
SLC26A2	8.55802e-005	2.40067	0.331802	-1.23187			
SLC26A4	0.44793	1.49042	0.466071	-1.52153			
SLC26A6	0.735444	1.02897	0.0029959	1.34493			
SLC26A7	0.0516814	1.14999	0.00204982	1.29049			
SLC29A2	0.10123	1.17658	0.046302	1.24481			
SLC2A13	0.00266525	1.93195	1.62495e-006	-3.7041			
SLC30A4	0.916213	-1.01496	4.40803e-007	-2.67273			
SLC30A5	0.231972	1.19601	0.512802	1.11232			
SLC30A6	0.193518	1.27441	0.291973	-1.2389			
SLC30A7	0.0161721	1.63961	0.505288	1.15408			
SLC30A9	0.952803	-1.01061	0.0158246	-1.64129			
SLC33A1	0.20887	1.29228	0.0628854	-1.52575			
SLC34A1	0.700987	-1.02655	0.0140862	1.21297			
SLC35B3	0.786968	-1.01658	0.000449898	1.29731			
SLC35B4	0.000211812	1.80571	0.77044	-1.04628			
SLC35D1	0.847928	-1.04333	0.612452	1.13084			
SLC35D2	0.393492	1.15457	0.0197325	1.56508			
SLC35E1	0.18302	1.1139	0.0123314	1.25968			
SLC35F5	0.353982	1.28736	0.764304	-1.093			
SLC35G2	0.527596	1.06272	0.549727	1.06511			
SLC36A4	0.846412	1.03459	0.910966	-1.02173			
SLC37A3	7.11354e-009	1.91438	0.00705481	1.29533			
SLC38A1	0.0723089	-4.19743	0.295078	-2.45703			
SLC38A2	0.535777	1.18866	0.0496688	-1.85554			
SLC38A4	0.987445	1.00157	0.892651	-1.01487			
SLC38A6	0.0196484	1.35318	0.373488	-1.12912			
SLC39A14	1.1827e-005	2.33897	0.825074	1.0404			
SLC39A7	0.0797144	-1.14486	0.000727742	1.36003			
SLC39A8	0.889532	1.02032	0.139726	-1.26949			
SLC39A9	0.429307	-1.20822	0.016393	-1.93014			
SLC40A1	0.411977	-1.30785	0.605676	1.20245			
SLC41A2	0.00152038	-1.6526	9.28609e-006	-2.31631			
SLC46A1	0.00957496	1.12435	0.271564	1.05333			
SLC47A1	0.0002771	1.83343	0.018286	1.49579			
SLC4A1AP	0.375488	1.15951	0.106402	-1.34985			
SLC4A2	0.128377	1.13377	0.00157446	1.3576			
SLC4A7	0.0230578	1.63081	0.000331343	-2.47503			
SLC4A9	0.635402	-1.04191	0.0777013	1.18709			
SLC50A1	0.00251586	1.28981	0.0907044	1.15926			
SLC6A15	0.952185	1.00598	1.95251e-021	-14.2228			
SLC6A2	0.601483	-1.05055	0.216213	1.138			
SLC6A4	0.955375	-1.00476	0.921212	1.00924			
SLC7A10	0.457588	-1.06391	0.306489	-1.09835			
SLC7A11	0.416017	-1.53538	0.633924	-1.31521			
SLC7A5	0.0143208	2.02555	0.00505641	-2.45872			
SLC7A8	0.980824	-1.00997	0.210054	-1.77614			
SLC8A1	0.535305	-1.08667	1.39155e-005	-2.12214			
SLC8A3	0.983944	-1.00429	0.231496	-1.32571			
SLC9A2	0.0124626	-2.07953	0.124578	-1.61068			
SLC9A3R1	0.0249546	1.21806	0.0740703	-1.18464			
SLC9A4	0.593147	-1.18596	0.631696	1.18239			
SLC9A6	0.0967037	1.3428	2.27692e-011	-6.95793			
SLC9A7	0.0899189	1.67529	0.000146877	-4.06099			
SLC9A9	0.212331	-1.59855	0.0424873	-2.35009			
SLCO2A1	0.655843	1.03519	0.0634106	1.17615			
SLCO3A1	0.104273	-1.3134	0.0575547	-1.42196			
SLCO5A1	6.38788e-006	3.08696	0.0943148	1.47824			
SLFN5	0.487951	-1.38983	0.268766	1.78356			
SLIT2	0.470478	-1.10259	2.31799e-016	-10.6724			
SLK	0.543584	-1.17932	0.0484505	-1.83122			
SLMAP	0.212729	1.16389	0.141824	-1.21777			
SLMO2	2.70799e-005	1.56612	0.00515601	1.34956			
SLN	0.341235	1.17284	4.71175e-015	13.5928			
SLTM	0.867894	1.02366	0.0190434	1.45999			
SLU7	0.256434	1.183	0.000287064	-1.92122			
SMAD1	0.245705	-1.17933	0.00266118	1.64861			
SMAD5	0.449014	1.10875	0.00405875	1.58211			
SMARCA1	0.0116514	1.33501	0.0357721	-1.29563			
SMARCA5	0.402026	-1.11369	0.985395	1.00256			
SMC1A	0.00176174	1.39384	4.3663e-009	2.36887			
SMC2	0.0692479	-1.31072	8.15693e-005	2.04731			
SMC4	0.815383	1.03299	6.27835e-014	7.20165			
SMC5	0.246936	1.18608	6.39322e-009	3.54401			
SMC6	0.0030546	1.82089	0.451966	1.16795			
SMEK1	0.894961	1.02637	0.144743	-1.37801			
SMEK2	0.462068	1.09784	0.401351	-1.12395			
SMN1	0.0533985	1.31237	0.0320759	1.39501			
SMNDC1	0.0795381	1.27059	0.0626915	-1.32239			
SMOX	0.540095	1.07211	0.749043	-1.04053			
SMPD1	0.0206528	-1.41296	0.0433767	-1.38667			
SMPDL3A	0.0672842	1.34983	0.115498	1.32388			
SMS	0.126021	1.28369	0.138549	-1.30281			
SMU1	0.971099	-1.00663	0.66503	-1.09057			
SMURF1	9.45273e-008	1.58072	0.906148	-1.00859			
SMYD2	0.927807	1.03181	0.0191684	-2.53298			
SNAI2	0.208305	-1.51501	0.937122	1.02855			
SNAPC1	0.0470939	1.59721	0.393193	-1.23938			
SND1	3.11732e-006	1.70785	0.000800605	1.46617			
SNHG8	1.56814e-005	1.90006	0.628558	1.06915			
SNIP1	0.00865654	1.19016	0.0529974	1.14655			
SNORA11B	0.0532864	1.43896	0.110312	1.38548			
SNORA14A	0.00326813	2.78286	0.00159977	3.3772			
SNORA15	0.000469046	2.22551	0.728768	-1.08128			
SNORA21	1.56425e-005	3.44133	0.0597438	1.6741			
SNORA22	6.53401e-009	2.92614	0.581885	1.08546			
SNORA23	4.93285e-005	2.79375	0.0522397	1.61698			
SNORA24	8.01737e-006	2.53586	0.000160381	2.26504			
SNORA26	1.40244e-005	4.08464	0.0255764	2.01221			
SNORA29	0.00312085	1.52629	0.12947	-1.2519			
SNORA32	1.85554e-007	2.41529	0.000179996	1.84646			
SNORA42	0.209236	1.33626	2.36281e-006	4.21273			
SNORA45	0.0896663	1.59317	0.00301041	2.5576			
SNORA53	0.00352272	1.63143	3.60107e-007	2.99877			
SNORA54	0.0876095	1.27064	0.221341	-1.20392			
SNORA59B	0.000817812	2.49981	0.690167	1.11469			
SNORA5A	0.000797857	2.71684	0.00608475	2.37845			
SNORA5C	0.0285916	1.61116	0.0139871	1.80936			
SNORA61	0.000871709	2.26347	0.000808207	2.46366			
SNORA70D	8.19061e-005	1.85822	0.262264	1.18567			
SNORA70E	0.000146195	1.4006	0.286499	1.09652			
SNORA70F	0.521474	-1.06705	0.0191646	1.31172			
SNORA70G	0.000416662	1.44642	2.38899e-006	1.80714			
SNORA71A	2.2324e-009	7.04499	0.00630951	2.11187			
SNORA71B	2.30456e-008	3.1525	0.0435775	1.42365			
SNORA71C	1.2442e-006	4.67093	0.000997953	2.77127			
SNORA71D	0.00061006	3.83553	0.00364517	3.36392			
SNORA74B	0.198166	1.39961	0.000536311	2.95867			
SNORA75	6.10037e-007	5.11965	0.0447702	1.8131			
SNORA79	1.75711e-005	1.86715	0.0417182	-1.33021			
SNORA81	0.0499405	1.40199	0.00155462	-1.87884			
SNORD101	0.00161763	1.76326	0.021523	1.54465			
SNORD11	1.02377e-006	3.45495	0.686194	1.09491			
SNORD111B	0.00190981	1.52382	0.696958	1.05477			
SNORD113-1	0.747529	-1.14177	0.00828978	-3.53856			
SNORD113-2	0.374899	-1.31881	0.000296139	-3.96396			
SNORD113-3	0.992913	1.00272	0.000575677	-3.59813			
SNORD113-4	0.0716766	-1.97547	7.83782e-005	-6.20324			
SNORD113-5	0.604947	1.08219	0.00116628	-1.8111			
SNORD113-6	0.604513	-1.21291	4.5367e-008	-18.6942			
SNORD113-7	0.192743	1.14457	0.089176	-1.21532			
SNORD113-8	0.180322	-1.36475	3.01899e-006	-4.14379			
SNORD113-9	0.373711	-1.32243	0.000438326	-3.8154			
SNORD114-1	0.102545	-1.91708	0.0103959	-3.18157			
SNORD114-10	0.0554972	-2.33006	0.0232338	-3.04171			
SNORD114-11	0.449004	-1.30693	0.0770538	-2.01353			
SNORD114-12	0.181552	-1.57957	6.00973e-006	-7.43656			
SNORD114-13	0.128303	-1.69988	0.0126958	-2.67799			
SNORD114-14	0.0794725	-1.82084	0.0118396	-2.63576			
SNORD114-15	0.0752258	-1.53915	0.00309144	-2.28145			
SNORD114-16	0.00809626	-1.77539	0.293324	-1.26759			
SNORD114-17	0.00527448	-3.1693	7.95925e-005	-6.79914			
SNORD114-18	0.852085	-1.0372	0.162835	-1.35579			
SNORD114-19	0.119792	-1.61241	0.163494	-1.59494			
SNORD114-2	0.0284621	-1.99204	0.000104683	-4.32633			
SNORD114-21	0.684721	-1.17736	7.86838e-007	-14.9839			
SNORD114-22	0.617118	-1.21861	3.09388e-007	-16.5251			
SNORD114-23	0.218034	-1.3589	8.06472e-006	-4.20115			
SNORD114-24	0.0985765	-1.46057	0.116519	-1.48205			
SNORD114-25	0.434139	-1.32095	2.99273e-008	-17.2534			
SNORD114-26	0.0865178	-1.31866	2.44291e-010	-4.9001			
SNORD114-28	0.606098	-1.25808	4.33833e-007	-22.1583			
SNORD114-29	0.936227	1.0159	0.00124818	-2.14524			
SNORD114-3	0.115755	-1.90394	8.87841e-006	-10.2392			
SNORD114-30	0.169871	-1.39099	0.186906	-1.41507			
SNORD114-4	0.597367	-1.11486	0.020899	-1.72283			
SNORD114-5	0.293697	-1.26672	0.00221531	-2.24992			
SNORD114-6	0.20991	2.06245	0.00405273	-6.86447			
SNORD114-8	0.139327	-1.22146	0.000434105	-1.76909			
SNORD114-9	0.454144	-1.26838	4.28224e-007	-9.0818			
SNORD12	2.7348e-006	3.01134	0.132523	1.38293			
SNORD121A	0.000669984	1.91594	0.0260239	1.5521			
SNORD121B	0.577378	-1.0823	0.00159132	1.70565			
SNORD123	0.510531	-1.16233	0.000441477	2.65556			
SNORD127	0.176795	1.51921	2.71459e-005	-5.1446			
SNORD12B	0.000178504	3.00903	0.858501	-1.05207			
SNORD12C	3.51823e-008	2.79592	0.164778	1.24406			
SNORD14B	3.32491e-005	2.0749	0.0107671	1.56226			
SNORD14D	0.199923	1.38632	2.08861e-005	3.95767			
SNORD14E	0.0094192	1.58372	1.6592e-008	3.99297			
SNORD16	4.47922e-005	2.03548	0.0682735	-1.36181			
SNORD17	3.97596e-006	3.02824	1.28238e-005	3.07769			
SNORD18B	0.00448545	2.29314	0.961479	1.01451			
SNORD1B	3.83263e-005	3.52786	0.0144224	2.10349			
SNORD20	1.73127e-006	3.17969	0.00168463	2.09221			
SNORD27	0.000598268	1.69653	7.16205e-011	4.39579			
SNORD35B	1.46858e-006	2.54896	0.00591067	1.66161			
SNORD37	0.00189794	1.73445	0.369131	-1.17532			
SNORD4B	0.00589572	2.64734	0.00660932	2.85767			
SNORD50A	0.0018468	2.08542	0.259442	1.31123			
SNORD60	3.86477e-005	1.75949	0.0207928	1.36798			
SNORD61	0.000604101	1.68156	0.0172739	1.45417			
SNORD63	0.000120178	2.13115	0.659006	1.08724			
SNORD66	0.00215745	1.32064	0.00882767	1.28952			
SNORD70	1.4596e-006	2.91564	0.00077168	2.08151			
SNORD82	1.25255e-006	2.45778	0.851895	1.0312			
SNORD85	0.0041576	2.04259	0.00966631	-2.00774			
SNORD90	0.231287	1.40186	0.0175395	-2.14117			
SNORD93	0.967983	1.02327	0.629608	1.35442			
SNORD96B	0.00163299	1.59144	0.0771303	1.3088			
SNRK	0.191397	1.19883	0.015213	-1.46616			
SNRNP200	0.574164	1.09025	5.00254e-005	2.19864			
SNRNP40	0.000624246	1.58542	0.581154	1.07649			
SNRNP48	0.00157237	1.43899	0.685039	-1.04809			
SNRPA1	1.08705e-007	1.66241	0.000132434	1.42236			
SNRPB	2.50984e-008	1.63014	0.0809825	1.13814			
SNRPB2	0.00144623	2.59752	0.113678	-1.62534			
SNRPD3	0.813543	-1.03555	0.100114	1.31374			
SNRPE	0.000331056	1.71666	0.0203776	1.43019			
SNRPEP2	1.83997e-005	1.99183	0.0328832	1.39393			
SNRPEP4	0.000309523	1.77303	0.00410663	1.61322			
SNRPF	0.00314771	1.33735	0.0404509	1.23664			
SNRPG	0.000120157	1.47539	9.6248e-005	1.54294			
SNTB2	0.0631572	1.38727	0.000490321	-2.06754			
SNW1	0.839572	1.03908	0.383707	-1.19939			
SNX13	0.105933	1.32398	0.674372	-1.08139			
SNX18	0.0455582	1.28005	0.571326	-1.07703			
SNX19	0.139599	-1.24028	0.06929	1.34024			
SNX2	0.0468961	-1.61246	0.381947	-1.25116			
SNX24	0.36892	-1.07559	0.493395	1.06256			
SNX25	4.48829e-007	1.38518	0.000687782	-1.23468			
SNX31	0.612443	-1.07094	0.970014	1.00557			
SNX6	0.682079	-1.09563	0.00102671	-2.40962			
SNX9	0.292016	-1.31566	0.0060781	-2.28675			
SOAT1	0.013718	1.55036	0.800791	1.04781			
SOBP	0.107513	1.42176	0.000710715	-2.40248			
SOCS2	0.528997	-1.16549	0.92552	-1.02514			
SOCS2-AS1	0.359248	-1.31337	0.507187	1.24022			
SOCS4	0.576165	1.12881	0.0441732	-1.63779			
SOD2	0.132386	1.27444	1.36028e-005	2.43853			
SOGA1	0.00482778	1.30974	2.07367e-007	1.91461			
SON	0.739238	-1.04042	0.00681987	1.45564			
SORL1	0.029419	-2.03653	0.0469255	-2.02584			
SORT1	0.17215	-1.45486	0.00487419	-2.44141			
SOS1	0.0965621	1.33435	0.449558	1.15156			
SOWAHB	0.992163	1.00167	0.130416	-1.33141			
SP100	0.954503	1.02167	0.0851248	2.06862			
SP110	0.32959	-1.39278	0.307139	1.46296			
SP140	0.736469	-1.02519	7.44728e-006	1.54267			
