Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
URGCP	0.000115377	1.39032	9.60252e-008	1.76447	5.46268e-006	1.52726	0.156194	-1.12579	0.724638	-1.02939	0.593752	-1.05202	
RPRD1B	3.01817e-007	1.39037	7.15804e-008	1.47714	0.00211117	1.19101	0.00889928	1.1667	0.373471	-1.05105	0.159188	-1.09621	
ZW10	0.015615	1.39041	5.80315e-007	2.43368	0.0242989	1.37025	0.376154	1.13488	0.000176869	1.82678	0.946645	1.01104	
ZNF330	0.00154363	1.39043	0.0529851	1.23224	0.660144	1.04436	0.15025	-1.16538	0.677154	-1.04455	3.33987e-005	-1.79175	
MTRF1L	0.0167496	1.39046	0.00045201	1.75299	0.070071	1.28712	0.287312	-1.16695	0.669863	1.06329	0.136745	-1.28611	
C3orf70	0.0951435	1.39059	0.00737909	1.82654	4.63449e-007	3.53949	0.85824	1.03848	0.0618583	-1.50169	0.0342289	1.71081	
TIPRL	8.52559e-005	1.39106	0.000196074	1.40188	0.000785738	1.32381	8.67706e-009	-1.87242	9.27835e-006	-1.52841	0.000323503	-1.45272	
NUP35	0.000191133	1.39122	0.000212305	1.43115	0.254722	1.09764	0.0826153	1.16511	0.00157944	1.34405	0.944303	-1.00695	
VBP1	0.00174987	1.39148	0.00625463	1.36306	0.041101	1.23609	4.27828e-005	-1.65525	1.08246e-005	-1.74234	0.00882209	-1.40596	
AGPS	0.0990199	1.39155	0.0915132	1.44869	0.685464	1.08543	0.105735	-1.42564	0.0570093	-1.52325	0.0099852	-1.96459	
RAD54B	0.000938749	1.39172	0.000974543	1.43435	0.176832	1.13732	0.0189444	-1.27735	0.00352589	1.36684	0.00117684	1.50456	
ETV5	0.0238584	1.39183	0.0440357	1.37696	0.000239464	1.81865	0.876865	-1.02406	0.119767	-1.27593	0.0434913	1.44829	
SMC1A	0.00176174	1.39384	0.0133018	1.32152	0.0344789	1.24767	4.42278e-006	1.8078	4.3663e-009	2.36887	8.40179e-009	2.62449	
THAP5	0.000691353	1.39393	4.14896e-009	2.19204	3.98513e-006	1.66554	0.0669247	-1.20064	0.706457	-1.03725	0.0025513	-1.44142	
PLCB1-IT1	0.142138	1.39447	0.0126127	1.89872	0.992103	1.00228	0.595099	1.1386	0.886849	1.03528	0.745484	1.09571	
CCDC126	1.79024e-007	1.39479	5.4834e-009	1.54544	2.39324e-008	1.46481	6.33254e-011	-1.70427	8.94747e-010	-1.60631	6.30949e-010	-1.74377	
FAM208A	0.06799	1.39484	0.000418031	2.14641	0.0160857	1.58891	0.082056	-1.41398	0.114085	-1.36801	0.0351195	-1.63334	
ZNF367	0.0727339	1.39516	0.00498799	1.81203	0.0313574	1.51833	0.308862	1.22512	0.000488778	2.15306	7.30025e-005	2.8309	
NSMAF	0.0325715	1.39552	0.000543566	1.87871	0.0263511	1.43161	0.0169696	1.50955	0.00184924	1.74419	0.744874	-1.06372	
CSDE1	0.00505268	1.39586	0.0112651	1.38556	0.801883	1.02924	0.000874062	-1.56249	0.0834367	-1.24138	0.0748476	-1.29346	
CHIC2	0.0917477	1.39779	9.59448e-007	3.63917	0.000290782	2.25652	0.0325755	1.60312	0.0291238	1.62026	0.174343	1.40262	
MIR612	0.201579	1.39805	0.00012172	3.45685	0.00066679	2.73493	0.000188243	3.30817	7.48988e-005	3.62944	1.79501e-005	5.22277	
NUP98	0.000757304	1.39891	0.00980266	1.31068	0.015083	1.26925	0.00673179	1.33048	0.00102442	1.42866	0.715089	1.04262	
PPIA	3.137e-005	1.39925	3.70079e-006	1.52951	5.29421e-005	1.39625	0.801105	-1.01929	0.0469229	1.16861	0.000580049	1.39655	
SNORA74B	0.198166	1.39961	0.394683	1.27338	0.349142	1.28526	0.279882	-1.36067	0.000536311	2.95867	0.232588	-1.48248	
SNORA70E	0.000146195	1.4006	0.00260656	1.32158	0.0477064	1.17971	0.0264552	1.21923	0.286499	1.09652	0.00013528	-1.53554	
CDK7	0.0137608	1.40112	0.0145344	1.44224	0.130862	1.22965	0.0484327	-1.33703	0.0766181	-1.29549	1.19412e-006	-2.68354	
SNORD90	0.231287	1.40186	0.311378	1.36596	0.109122	1.60238	0.00820047	-2.35718	0.0175395	-2.14117	2.77459e-008	-13.4561	
AHI1	0.00180481	1.40193	0.0205565	1.30252	0.00174252	1.41948	0.380508	-1.10098	0.38397	-1.1002	0.186461	-1.18382	
SNORA81	0.0499405	1.40199	0.000827564	1.96077	0.00159987	1.80893	0.00129053	-1.90283	0.00155462	-1.87884	0.000358513	-2.32025	
ZNF394	1.1986e-008	1.40234	2.30749e-013	1.81118	1.01257e-009	1.48102	1.0718e-005	1.2867	6.12428e-005	1.24927	7.61917e-005	1.2875	
PPID	0.0281369	1.40249	0.000644273	1.84359	0.0355522	1.3956	3.85411e-006	-2.47308	0.000314776	-1.92267	1.10243e-007	-3.60868	
RANBP2	0.0230237	1.40255	0.0387142	1.39713	0.124733	1.25901	0.01675	-1.47977	0.0609167	-1.35147	0.120638	-1.33019	
ALG3	0.000168469	1.40257	0.000203982	1.44003	0.000220678	1.40706	0.000232162	1.43424	0.000223771	1.43589	1.51802e-007	1.96921	
ARSE	0.00432037	1.40266	1.70291e-006	2.03756	6.46103e-007	2.03479	0.0130529	1.3728	0.0719489	1.25099	0.923991	1.01343	
BACH1-IT2	0.060548	1.40291	0.288015	1.22838	0.481265	1.13639	2.04561e-006	3.04937	0.00185561	1.91392	0.00115999	2.19993	
RNU7-9P	0.0165386	1.40344	0.145962	1.24392	0.441902	1.11342	0.0693251	1.31712	0.215216	1.20338	0.0478479	1.41673	
GNG12	0.0891575	1.40405	0.685352	-1.09043	0.954618	-1.01151	0.000837896	2.1933	0.177766	1.33915	0.314937	1.28368	
RAD18	0.0103793	1.40416	0.0763788	1.28347	0.0214684	1.36488	6.87498e-005	1.87321	3.66578e-009	3.05286	3.35138e-012	5.76657	
RHOBTB1	0.00336036	1.40454	0.00277263	1.4635	0.023035	1.30192	0.730218	1.0415	0.0564719	-1.26082	0.00202474	-1.57773	
WIPF1	0.0161267	1.40474	0.00397288	1.57711	3.23688e-005	1.95863	0.0252354	1.41045	0.00182464	1.64766	1.77229e-005	2.36151	
UTP23	0.00205064	1.40556	0.00629362	1.38346	0.224471	1.1379	0.000258972	-1.58004	0.0956039	-1.20936	4.04061e-009	-2.83551	
SBDSP1	0.00382398	1.40573	1.0065e-008	2.53508	4.94473e-005	1.7006	0.206222	-1.16618	0.67536	-1.05161	0.069423	-1.29527	
FCHO2	0.0549721	1.40574	0.0446383	1.47926	0.233883	1.2386	0.590063	1.10709	0.805428	-1.04752	0.0191186	-1.70623	
TGDS	0.0620203	1.40609	0.0617271	1.45323	0.159853	1.29915	0.663605	-1.08828	0.0618573	-1.45294	9.92089e-005	-2.7114	
PDLIM3	0.204935	1.40655	0.363032	1.30524	0.00603574	2.23322	0.145596	1.53863	0.00011238	3.59915	2.6592e-006	6.8302	
RNU7-7P	0.152103	1.40717	0.070104	1.61325	0.134363	1.44685	0.000436423	2.735	0.060403	1.64359	0.0415183	1.87044	
PLGLA	0.00955721	1.40745	0.486859	-1.09988	0.436446	1.10579	0.523595	1.09119	0.907227	-1.01602	0.791049	1.04263	
PPIP5K2	0.0973268	1.40755	0.00461325	1.95409	0.104727	1.41218	0.588993	-1.12694	0.626458	-1.11361	0.0446348	-1.69817	
LSM5	5.90921e-006	1.40784	3.45992e-011	1.99621	9.96237e-008	1.5652	0.341859	1.06819	2.3756e-006	1.48709	0.0809973	1.15306	
LINC00342	0.0365373	1.40835	0.21947	1.23978	0.689221	1.06742	5.72746e-009	3.9629	1.27803e-009	4.38364	7.93736e-005	2.46781	
RNU7-61P	0.00954594	1.40844	0.000118137	1.8207	0.0062674	1.45574	3.70447e-005	1.92543	0.0865514	1.27135	0.000194367	1.94252	
FAM27B	0.0155359	1.40888	2.28889e-005	2.08072	0.0488069	1.32763	0.447216	1.11932	0.0253894	1.41106	0.0872325	1.34823	
TRRAP	0.000317784	1.40987	5.50825e-005	1.54404	0.000124029	1.46861	2.08435e-008	2.00923	2.24676e-007	1.85177	1.30518e-008	2.28113	
CCNDBP1	0.00128256	1.41202	2.89431e-006	1.84142	8.86358e-005	1.57439	3.77048e-008	-2.17811	2.56969e-006	-1.84973	1.00608e-006	-2.11986	
DCAF13P3	0.0346617	1.41225	0.0213943	1.5142	0.183774	1.24508	0.245683	1.22426	0.356035	1.17373	0.00829308	-1.74673	
CISD1	0.0375502	1.4128	0.0747383	1.37874	0.902889	1.02039	1.72603e-008	-3.75922	8.06584e-008	-3.4001	1.29767e-011	-8.32305	
DENND1A	2.84617e-009	1.41419	1.02684e-005	1.27348	3.58665e-011	1.54555	6.05313e-007	-1.33361	1.3835e-005	-1.26736	0.407619	-1.04532	
RNF216P1	8.52761e-005	1.41419	3.33023e-005	1.50317	2.86726e-005	1.4747	0.00254246	1.31711	2.6008e-005	1.51423	0.0257465	1.25434	
MYBL1	0.150673	1.41475	8.69207e-006	3.96885	0.0496989	1.64361	0.619306	1.13812	0.0127183	1.97969	0.602336	1.16965	
RBM41	0.00579959	1.41511	0.00173264	1.55328	0.0122834	1.37938	1.40167e-005	1.94092	0.000171206	1.7319	0.775152	1.04353	
NSUN5P2	0.00138012	1.41529	0.0506977	1.2457	0.120215	1.17673	0.000631654	1.50958	7.09794e-007	1.96147	6.38159e-009	2.70766	
SSU72	0.00122962	1.41537	0.00138887	1.45598	0.279519	1.11708	0.0414044	-1.25512	0.066732	-1.22492	0.0511105	-1.28425	
SHFM1	1.22707e-005	1.41583	1.83827e-010	1.98557	4.35749e-007	1.55421	2.58086e-006	1.52382	3.14616e-007	1.61014	0.000119512	1.45036	
BUD31	1.61095e-005	1.41623	1.39534e-005	1.46961	1.75025e-005	1.42954	0.0183159	1.2037	4.27516e-005	1.42692	1.2779e-006	1.67775	
NAA50	0.000819717	1.4165	0.0191531	1.28903	0.0120019	1.29504	0.311077	-1.11144	0.175229	-1.153	0.701974	1.04681	
FAM133B	2.32039e-005	1.41661	1.99828e-006	1.56498	0.000111925	1.3764	0.00126753	1.31175	0.000153926	1.39117	0.0318122	1.21938	
TRMT2B	0.00282266	1.41758	4.74376e-007	2.11818	4.88555e-007	2.02679	0.000967152	1.53705	0.0582758	1.26028	0.0463515	1.32572	
TRPS1	0.0109734	1.41829	9.05383e-006	2.1236	0.048385	1.31508	4.27347e-006	2.20493	0.000786209	1.69437	0.987337	-1.00261	
ST3GAL6-AS1	0.00531797	1.4184	0.00552947	1.46362	0.000913847	1.55576	0.0683808	1.27234	0.0249956	1.3507	0.316898	1.16153	
LOC375295	0.0286651	1.41964	2.65247e-007	3.0097	0.00986699	1.54313	0.433487	-1.14176	0.00183253	1.76972	0.0137896	1.65605	
EML4	0.0454344	1.41989	0.131475	1.33012	0.239954	1.23114	0.0129429	1.6261	0.041333	1.4802	0.00822958	1.82418	
MPHOSPH10	0.018029	1.42038	0.0234621	1.44314	0.248989	1.18565	0.0919933	-1.30661	0.740362	-1.05273	0.0336976	-1.48417	
PTPDC1	0.00953144	1.42085	0.0985443	1.26725	0.0177249	1.38912	1.33564e-007	-2.58962	0.0833198	-1.28257	0.990069	1.00202	
METTL5	0.00031299	1.42094	0.00692258	1.31529	0.00793868	1.28846	0.0119049	-1.28797	0.223715	-1.12459	1.64408e-006	-1.91235	
SOBP	0.107513	1.42176	0.0085176	1.92365	0.00327638	2.01372	0.0699106	-1.5476	0.000710715	-2.40248	0.000184398	-3.13852	
GTF2I	0.00189242	1.4218	0.0532725	1.25573	0.0161341	1.31266	0.00460221	1.41427	0.3329	1.11783	0.000101925	1.79482	
SHQ1	1.15803e-005	1.42206	4.20945e-008	1.70723	0.000443284	1.31447	6.50112e-008	-1.68705	9.70068e-005	-1.39135	0.00224878	-1.3278	
FBXO17	0.00214321	1.42306	0.0106898	1.36787	0.0196532	1.30656	0.959116	1.00597	0.0168045	1.33826	0.310577	1.14688	
ATG4C	0.0212973	1.42318	3.41257e-005	2.16825	0.0695918	1.32612	0.00111922	-1.7742	0.0391175	-1.40945	0.000558159	-2.03261	
NAA20	6.00024e-008	1.42331	0.000455525	1.23738	0.00239222	1.1844	0.109725	-1.09331	0.000102795	-1.27386	1.07333e-010	-1.82626	
USP37	0.00912369	1.42333	4.38061e-006	2.17212	0.0178601	1.38784	0.624255	-1.07107	0.125459	1.24439	0.169132	-1.25317	
NAPEPLD	0.0146257	1.42342	2.04024e-007	2.71593	4.28706e-005	1.96045	1.27163e-006	-2.46071	7.33352e-008	-2.8728	2.31657e-008	-3.64286	
FAM92A1	3.54173e-006	1.42413	0.00470865	1.23204	0.460396	1.04936	0.0919311	-1.12634	0.68931	1.02797	0.623636	-1.0399	
WWC3	0.0120033	1.42414	0.0242036	1.4103	0.0460129	1.32874	0.550121	-1.09148	0.16098	-1.23141	0.61173	1.08957	
CLOCK	0.10024	1.42425	7.84695e-006	3.42158	0.00146714	2.12606	0.710418	-1.08939	0.115047	-1.44879	0.0251477	-1.86201	
RPUSD4	0.00388819	1.42488	0.0838099	1.24822	0.403404	1.10414	0.120198	-1.21931	0.569855	1.07383	0.43197	-1.12078	
NSUN5	3.73609e-005	1.42507	0.000126167	1.42367	0.00775461	1.24117	0.00124048	1.33148	4.07847e-006	1.56996	2.65102e-007	1.84375	
SRI	0.0238458	1.42532	0.000405233	1.91329	0.0465302	1.3761	0.899036	-1.02109	0.949133	-1.01055	0.151546	-1.31933	
TOE1	0.000194872	1.42565	5.49541e-005	1.53708	0.4258	1.07217	0.0018179	1.36784	5.02514e-005	1.54156	0.00135579	1.45266	
FTSJ2	1.40947e-005	1.42568	3.73892e-009	1.85016	2.765e-007	1.59313	0.0130347	1.21904	0.00896287	1.23331	0.000825549	1.37994	
CENPI	0.0616997	1.42624	7.85926e-005	2.49768	0.00205145	1.89208	0.000163442	2.37005	1.11464e-007	3.99771	1.89557e-008	5.77214	
PMS2P4	6.71022e-007	1.42722	2.19559e-006	1.438	6.40019e-006	1.37737	8.02301e-010	1.73013	4.13981e-009	1.66162	1.07027e-012	2.3162	
NEK7	0.031975	1.42761	0.00100136	1.88135	0.00149537	1.77057	0.00207849	-1.79378	0.0229923	-1.51506	2.43207e-005	-2.71248	
C8orf76	0.0034746	1.42786	0.0313745	1.32008	0.372545	1.11067	0.784532	-1.03451	0.338032	-1.1272	0.0113154	-1.46705	
GCH1	0.00805238	1.42824	7.36002e-005	1.88063	0.021658	1.36914	0.0107641	1.45366	0.0542781	-1.31723	0.0082838	-1.56681	
IGHD2-15	0.0151509	1.42859	0.0215532	1.44446	0.0913869	1.28323	6.62718e-005	2.01788	0.0146754	1.48109	9.11562e-005	2.20508	
CYCSP52	0.00333508	1.42879	4.49633e-005	1.79385	0.0314774	1.29798	0.012169	-1.38699	0.479573	-1.09173	0.0842234	-1.28763	
STXBP5	0.0828723	1.42911	0.0356757	1.61532	0.369762	1.20582	0.000152322	-2.57116	1.13481e-007	-4.50968	2.16714e-006	-4.3524	
UBL4A	0.00116587	1.42978	0.031344	1.27951	0.0582763	1.22455	0.0500885	-1.24955	0.639729	-1.05296	0.284738	-1.14712	
NEDD4L	0.182914	1.43069	0.000810545	2.92018	0.84107	-1.05641	0.0162728	-2.0806	0.000372322	-3.17002	6.8232e-005	-4.64016	
FAM73A	0.0128386	1.4309	0.0168059	1.45586	0.0364608	1.35828	1.74359e-008	-3.0912	2.46224e-008	-3.03197	2.23307e-009	-4.217	
YKT6	0.0043627	1.43133	1.39699e-008	2.66444	9.94443e-005	1.71363	0.000272909	1.69062	6.98967e-005	1.79911	0.00289877	1.61129	
RBM33	1.639e-006	1.43187	0.00204307	1.25043	0.000119369	1.31749	7.14014e-008	1.5977	1.24254e-009	1.77081	9.30499e-015	2.93288	
DLX6-AS1	0.295541	1.43205	0.208621	1.60771	0.377659	1.3661	0.517092	-1.2741	0.11845	1.81108	0.155441	1.86218	
OAT	0.0429671	1.4321	0.0398927	1.4916	0.108251	1.33712	3.84739e-006	-2.85607	3.37787e-006	-2.88077	3.37075e-007	-4.05302	
GTPBP10	0.000820679	1.43244	7.78583e-005	1.62239	0.00292246	1.38169	0.0354467	-1.26256	0.060551	-1.22928	0.00990964	-1.40014	
YEATS4	0.00506311	1.43249	0.0197648	1.37783	0.0481628	1.28763	0.777905	-1.03774	0.296109	-1.14844	0.0515272	-1.35635	
DDX3Y	0.451107	1.43274	0.21957	1.90957	0.203797	1.88117	0.0510263	2.85373	0.898518	1.06861	0.973525	1.02014	
TMED4	1.43311e-007	1.43321	1.67729e-010	1.72647	1.10793e-007	1.45772	0.010816	1.17003	1.30983e-005	1.35079	6.42353e-006	1.43915	
PMS2L2	2.39112e-006	1.43415	2.20774e-006	1.48724	9.53242e-005	1.33446	0.000501507	1.30381	0.00122925	1.27473	2.11323e-008	1.80729	
PSPH	0.0111271	1.4342	2.24791e-008	2.99438	9.26065e-005	1.8603	9.42985e-005	1.92986	0.398096	1.13332	0.689451	-1.07038	
DUS4L	0.000210527	1.43451	9.06665e-008	1.92627	1.07422e-005	1.59398	0.0507544	1.21024	0.463708	1.07208	0.160154	-1.16875	
HNRNPAB	1.10453e-006	1.43454	2.78383e-007	1.53358	0.00143851	1.23989	2.81589e-005	1.37785	4.5829e-014	2.36417	3.09467e-012	2.31636	
CD83	0.000602956	1.4347	2.60428e-006	1.81474	0.00908235	1.31168	0.228457	-1.13522	0.941656	1.00764	0.00962769	1.39017	
C2orf74	0.00363602	1.43524	0.0149792	1.38241	0.0128269	1.36758	0.29529	-1.14298	0.0390516	-1.31094	0.00548576	-1.54278	
RN5S91	0.0444496	1.43527	0.119158	1.3535	0.247052	1.23371	0.13894	-1.33221	0.653561	-1.08931	0.00575609	-1.91161	
MIR550A3	0.00649021	1.43602	3.06439e-005	1.9431	0.0452833	1.30586	0.000149807	1.79989	8.11554e-006	2.07102	4.85615e-005	2.09908	
MRS2	0.00202679	1.43682	0.000915955	1.54047	0.000119242	1.63138	0.116268	-1.20922	0.0276988	-1.31233	0.0830903	-1.27527	
PTPN1	0.000248731	1.43705	1.11164e-006	1.78832	0.000179085	1.46983	6.679e-005	1.55614	0.0481381	1.21766	2.66991e-005	1.72727	
PTCD2	0.0168195	1.43775	0.0501306	1.378	0.10595	1.28002	0.0755525	-1.33534	0.0780716	-1.33189	3.57647e-007	-3.24541	
DEPDC1	0.0718017	1.43811	3.6464e-005	2.80792	0.0293126	1.58434	0.0949356	1.44446	9.47354e-005	2.6118	2.20258e-005	3.44234	
SHC1	0.0123375	1.43834	0.00970171	1.51147	0.0357403	1.36342	0.00739477	1.5367	0.00255704	1.63583	3.14355e-006	2.6803	
URB1	7.03943e-005	1.43844	0.0118809	1.26052	0.023844	1.21408	0.000495424	1.40148	0.0217724	1.23269	0.736221	1.03452	
SNORA11B	0.0532864	1.43896	0.250398	1.26142	0.57184	1.1127	0.0124949	1.69313	0.110312	1.38548	0.207107	-1.34315	
SNRNP48	0.00157237	1.43899	0.00267897	1.45557	0.00196084	1.44316	0.272954	-1.13664	0.685039	-1.04809	0.000634368	-1.65717	
CEBPG	4.59333e-005	1.43917	0.00776552	1.27011	0.00163327	1.31457	0.722643	-1.03048	0.348212	1.08313	0.00131264	-1.40909	
SRPK2	0.0333058	1.43938	0.00174556	1.84895	0.0199486	1.5136	0.00331781	-1.7693	0.000355921	-2.05423	7.3606e-005	-2.58098	
CDK14	0.0516589	1.44096	0.000553365	2.1448	0.00896763	1.68247	0.00211093	-1.94322	0.000271713	-2.25731	0.00113528	-2.27159	
LOC100287765	0.00291283	1.44119	0.027582	1.33119	0.00639152	1.407	0.156896	1.19644	0.49101	-1.08995	0.220993	-1.19516	
PPIG	0.00278104	1.44135	0.00248775	1.50041	0.0404133	1.2817	0.0747889	-1.25463	0.482185	-1.09139	0.0532138	-1.33052	
ATP6V0E2-AS1	1.21856e-005	1.44149	1.90843e-011	2.21461	2.8054e-009	1.82275	3.83175e-009	1.87278	1.91477e-007	1.67289	1.20171e-007	1.83907	
LOC100130275	0.0402516	1.44211	0.00067122	2.03314	0.00489953	1.70869	0.0410955	1.4907	0.000388676	2.11065	0.000456356	2.33945	
TFRC	0.129305	1.44356	0.00741794	2.09693	0.0520054	1.63541	0.400612	-1.24588	0.236309	1.36558	0.00602205	2.41088	
NUDT9P1	0.00120258	1.44412	0.000614445	1.53816	0.0414646	1.25362	0.153939	-1.17894	0.0582916	-1.24802	9.83769e-006	-1.99257	
APIP	0.00160182	1.44443	8.6134e-007	2.04762	0.00179426	1.4551	0.0441167	-1.27631	0.0717403	1.24202	0.00318348	-1.53711	
GALNTL4	0.000339822	1.44454	0.360418	-1.09699	0.0472269	-1.21464	0.0186479	-1.28137	0.000624565	-1.46336	1.7186e-005	-1.80008	
USP39	5.55044e-007	1.44457	0.00238983	1.23505	0.00160479	1.23137	0.677111	1.02712	0.159209	1.09623	0.976265	-1.00221	
SRPRB	0.000367774	1.44487	0.0125392	1.30576	0.132992	1.15748	0.860489	-1.01796	0.505458	1.07005	0.616035	1.06054	
OLFM2	0.235943	1.44543	0.0231565	2.22248	0.0336005	2.01501	0.630785	-1.1759	0.176131	-1.58773	0.000138505	-5.37757	
UBE2M	1.81972e-006	1.44549	2.22395e-009	1.77613	1.1911e-006	1.47742	7.95617e-011	-1.94915	1.29677e-010	-1.92192	3.60275e-013	-2.62165	
ZNF138	1.40018e-005	1.44552	1.20402e-006	1.60256	3.34852e-005	1.43028	0.209789	-1.10502	0.00179289	1.30605	0.0180572	1.25239	
MIR550A1	0.00104578	1.44566	3.2049e-008	2.27249	0.000244434	1.54727	8.51868e-007	1.988	4.85187e-009	2.46202	3.28518e-006	2.07814	
TFPI2	0.0752466	1.44577	0.0474702	1.57288	0.878175	-1.03245	0.477497	-1.17073	0.953802	-1.01288	0.00376401	2.21417	
LOC100133091	9.66108e-006	1.44615	5.81942e-006	1.5186	2.9065e-005	1.42337	0.00186182	1.29644	1.4448e-007	1.68019	6.34037e-010	2.18651	
SNORA70G	0.000416662	1.44642	0.0168302	1.29426	0.0136892	1.28609	5.0009e-005	1.61906	2.38899e-006	1.80714	0.0699971	1.2474	
MCM3	0.00158688	1.44709	0.00875137	1.38671	0.00892013	1.35986	3.06728e-008	2.36802	1.1661e-009	2.74416	3.35237e-010	3.43333	
LRRC70	0.0620547	1.44749	0.0865123	1.44836	0.227805	1.2746	0.106466	-1.41605	0.112408	-1.40753	1.68319e-005	-3.43683	
FAM136A	1.37723e-005	1.44848	0.00295223	1.2882	0.293988	1.082	0.455507	-1.06096	0.764055	1.02399	0.115209	1.1579	
TOMM40	1.52451e-006	1.44867	0.00044954	1.30746	0.0552887	1.13645	0.152936	-1.10491	0.0608266	-1.14171	0.120558	-1.13374	
PDS5A	0.0110278	1.44904	0.000546595	1.78634	0.0525378	1.33029	0.769505	-1.04534	0.842361	-1.03054	0.050743	-1.42249	
ZNF75D	0.000763565	1.44951	7.68348e-007	1.96315	0.000977888	1.45356	0.00403584	1.40224	0.781843	1.0308	0.539184	1.08098	
MIR1290	0.19356	1.44994	0.0584371	1.82589	0.170183	1.5	0.232856	1.45152	0.260254	1.42069	0.230863	1.54055	
MIR548U	0.121708	1.4505	0.200968	1.39718	0.154057	1.42284	0.0269958	1.81274	0.201089	1.39705	0.0823792	1.70034	
MRPS33	9.71477e-008	1.45084	1.94146e-013	2.07989	9.68705e-009	1.54053	0.0918365	1.10729	0.816931	1.01376	2.22227e-006	-1.48316	
FAM220A	6.94525e-008	1.45113	3.11989e-013	2.02686	3.13186e-009	1.56596	0.000571849	-1.24809	4.45413e-005	-1.31575	2.34652e-011	-1.98068	
DHPS	0.00256852	1.45148	0.00178215	1.53028	0.0170302	1.34386	0.331108	-1.1304	0.559653	1.07594	0.00441409	-1.55445	
RNU7-3P	0.0509743	1.45178	0.00349548	1.89043	0.0640572	1.43924	0.00706061	1.7876	0.182719	1.31518	0.0652822	1.5586	
ATAD5	0.0275331	1.45216	0.000343763	2.03871	0.164049	1.26774	8.48702e-006	2.57294	2.40378e-011	6.12928	1.07074e-011	8.72432	
CHUK	0.0480562	1.45216	0.0997285	1.40047	0.373642	1.18392	0.107857	-1.38906	0.155051	-1.33538	0.000368013	-2.50645	
ZBTB8OS	0.000974029	1.4527	0.000288996	1.58233	0.00637437	1.36264	0.962945	1.00526	0.791782	-1.03025	0.554826	-1.08022	
RNU7-70P	0.000529106	1.45421	0.000431822	1.519	0.0232564	1.2691	0.00170101	1.4395	0.000106054	1.60249	0.006323	1.43099	
WBSCR16	1.69802e-010	1.4543	3.16951e-014	1.79221	9.39878e-012	1.54943	9.63799e-012	1.59036	1.0665e-010	1.52003	4.16193e-008	1.44078	
SARS	0.00836887	1.45436	0.000713914	1.72994	0.338335	1.14263	0.0021157	-1.63055	0.230883	-1.19453	0.00147588	-1.79941	
ACTR5	1.53115e-005	1.45491	0.00174533	1.31545	0.860088	-1.01346	0.0134539	1.2331	0.000718329	1.35072	0.679162	1.03922	
C18orf1	0.000558749	1.45507	0.0150292	1.31589	0.160677	1.15524	0.913754	-1.01169	0.00243638	-1.42219	0.571899	-1.07275	
EIF2B5	0.000313355	1.45544	0.0385422	1.24423	8.51418e-005	1.5406	0.696946	1.0405	0.15046	1.16067	0.0417502	1.28146	
KDELR2	0.0194102	1.45572	6.99282e-006	2.46837	0.00389283	1.63416	0.000223455	2.0105	9.97455e-005	2.10972	0.000147067	2.3056	
PDIA4	0.00331816	1.45667	0.000260895	1.70647	0.00432999	1.45619	0.020393	1.37199	0.312096	1.142	0.00551166	1.56214	
RN5S385	0.0664523	1.45669	0.00183766	2.09456	0.0321875	1.58128	1.27072e-008	5.32339	0.00192019	2.08702	0.154941	1.4398	
MIR550A2	0.000610223	1.45712	2.43805e-007	2.04226	0.00114867	1.44053	0.00143522	1.4596	4.9388e-006	1.81805	9.28375e-005	1.7521	
IGF2BP3	0.0483048	1.45719	2.2823e-006	3.21181	0.924373	1.01825	0.00479459	1.84105	1.47713e-008	4.65042	0.0340054	1.67186	
LYSMD2	1.68541e-010	1.45752	2.00511e-005	1.24696	8.17085e-008	1.33577	1.82193e-013	-1.72974	2.37627e-014	-1.80989	2.29138e-013	-1.87205	
CHCHD8	1.27037e-008	1.45788	6.70526e-007	1.39742	0.00164905	1.19032	0.000588496	1.22787	8.94085e-005	1.27333	0.356731	1.05945	
SLC20A2	0.112577	1.45818	0.296767	1.30788	0.689523	1.10091	0.757167	1.08207	0.279932	-1.32066	0.0109336	-2.20755	
CDCA8	0.0348732	1.45836	0.000690655	2.02891	0.160499	1.28883	0.0448525	1.47926	2.23257e-005	2.55465	3.23286e-006	3.42444	
MTRR	0.0112856	1.45889	0.00414871	1.60889	0.0254599	1.40456	0.85324	1.029	0.946142	-1.01049	0.0214562	-1.5363	
AIF1L	0.194668	1.45918	0.424474	1.28746	0.513083	1.21498	0.848086	-1.06215	0.52897	-1.2199	0.559339	-1.23706	
PTP4A3	0.0144762	1.45974	0.185524	1.24149	0.190916	1.22311	0.950495	1.01004	0.33569	1.16905	7.71527e-005	2.32406	
AFAP1	1.09945e-005	1.45989	4.17959e-012	2.38783	0.00275037	1.27399	0.00886904	-1.24649	0.000381991	1.37002	0.00110225	1.38828	
TTTY10	0.0393806	1.46116	0.0428564	1.50358	0.0561456	1.4351	0.0183046	1.61811	0.325828	1.21244	0.157878	1.38062	
